date_of_interest,CASE_COUNT
5/20/2022,3437
1/9/2021,3693
10/17/2020,366
12/11/2021,2158
11/8/2021,1135
9/27/2021,1391
9/22/2022,1647
7/5/2022,5231
6/10/2022,2416
4/28/2022,2672
7/8/2021,369
3/9/2022,625
9/30/2021,1137
1/24/2021,2929
3/31/2021,3185
12/15/2021,13169
10/19/2020,626
4/27/2021,1138
3/20/2021,2162
3/30/2021,3186
4/2/2020,5746
6/13/2021,115
7/9/2021,371
11/5/2020,1139
11/5/2022,1395
5/11/2021,628
10/15/2021,884
5/6/2020,1397
5/24/2022,3957
5/30/2021,118
5/31/2021,118
6/26/2021,118
9/15/2022,1654
4/22/2020,3446
8/15/2021,1143
8/15/2022,2679
7/4/2020,120
10/12/2021,1144
12/25/2021,7800
6/12/2021,121
5/19/2021,377
11/4/2022,2169
12/30/2020,4985
6/18/2020,378
10/1/2022,890
4/20/2022,2170
3/19/2020,3706
7/11/2022,4986
1/12/2021,5242
10/6/2021,1147
10/29/2022,1147
9/1/2022,1659
8/24/2022,1915
12/30/2021,47483
7/4/2021,124
6/15/2020,380
2/12/2022,636
