Date,Cases___Total
4/21/2020,873
2/26/2022,106
3/26/2023,106
9/16/2023,106
3/29/2022,362
7/27/2020,362
10/25/2021,363
9/20/2020,108
10/1/2020,364
10/5/2022,364
7/22/2020,364
10/13/2020,876
11/4/2023,109
3/18/2023,109
11/11/2023,109
11/12/2023,109
9/3/2023,109
9/16/2020,365
10/13/2022,365
2/10/2023,365
